"Origem","destino","Distancia"
"26","18","2400.0"
"26","19","1900.0"
"26","20","1700.0"
"26","21","500.0"
"26","22","1200.0"
"26","23","4400.0"
"26","24","3400.0"
"26","25","1000.0"
"26","27","700.0"
"26","28","2200.0"
"27","1","4200.0"
"27","2","4300.0"
"27","3","3600.0"
"27","4","2900.0"
"27","5","3100.0"
"27","6","3000.0"
"27","7","2400.0"
"27","8","2200.0"
"27","9","1700.0"
"27","10","1500.0"
"27","11","3100.0"
"27","12","2900.0"
"27","13","2400.0"
"27","14","2400.0"
"27","15","1900.0"
"27","16","1200.0"
"27","17","4100.0"
"27","18","3100.0"
"27","19","2600.0"
"27","20","2400.0"
"27","21","1200.0"
"27","22","500.0"
"27","23","5100.0"
"27","24","4100.0"
"27","25","1700.0"
"27","26","700.0"
"27","28","1500.0"
"28","1","5400.0"
"28","2","5100.0"
"28","3","4400.0"
"28","4","4100.0"
"28","5","4600.0"
"28","6","4500.0"
"28","7","3900.0"
"28","8","3700.0"
"28","9","3200.0"
"28","10","3000.0"
"28","11","3900.0"
"28","12","3900.0"
"28","13","3400.0"
"28","14","3200.0"
"28","15","3000.0"
"28","16","2700.0"
"28","17","4900.0"
"28","18","3500.0"
"28","19","3000.0"
"28","20","2500.0"
"28","21","2700.0"
"28","22","2000.0"
"28","23","5500.0"
"28","24","4500.0"
"28","25","1800.0"
"28","26","2200.0"
"28","27","1500.0"
